VIS_AREA_SQM,SWIR_AREA_SQM,VIS_PATCHES,SWIR_PATCHES,ENTITY_ID,SHAPE,VIS_CLOUDS,VIS_SHADOW,VIS_SHADOW_AREA,VIS_TRACKS,SWIR_SHADOW,SWIR_SHADOW_AREA,SWIR_NOISE,SWIR_CLOUDS,SWIR_TRACKS,SLC_ERR_AREA,SLC_ERR,,,,,,,
3625049.207,126806.767,1,1,Multispectral_LC08_L2SR_061113_20151209_20201016_02_T2_MTL_clip,diffuse,0,1,44597.09036,1,1,64856.18387,1,0,0,0,0,,,,,,,
2797753.871,90876.98116,1,1,Multispectral_LC08_L2SR_061113_20151225_20201016_02_T2_MTL_clip,diffuse,0,1,52313.78937,1,1,43200.69002,1,0,1,0,0,,,,,,,
,,,,Multispectral_LC08_L2SR_061113_20160126_20201016_02_T2_MTL_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
799627.7686,571852.2349,1,1,Multispectral_LC08_L2SR_062113_20131108_20201016_02_T2_MTL_clip,diffuse,0,1,78607.36788,1,1,96020.38123,0,0,1,0,0,,,,,,,
,,,,Multispectral_LC08_L2SR_062113_20131124_20201016_02_T2_MTL_clip,no guano,1,0,0,0,0,0,1,1,0,0,0,,,,,,,
1839696.381,,1,,Multispectral_LC08_L2SR_062113_20131210_20201016_02_T2_MTL_clip,diffuse,1,1,73403.32125,1,0,0,0,1,0,0,0,,,,,,,
5197923.333,5771452.142,1,4,Multispectral_LC08_L2SR_062113_20131226_20201016_02_T2_MTL_clip,diffuse,0,1,82381.62668,1,1,98276.68714,1,0,1,0,0,,,,,,,
,,,,Multispectral_LC08_L2SR_062113_20140127_20201016_02_T2_MTL_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,,,Multispectral_LC08_L2SR_062113_20140212_20201016_02_T2_MTL_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
842055.9383,874682.9305,1,1,Multispectral_LC08_L2SR_062113_20141111_20201016_02_T2_MTL_clip,diffuse,0,1,119188.4066,1,1,74432.76796,0,0,1,0,0,,,,,,,
1820564.77,2645122.657,1,4,Multispectral_LC08_L2SR_062113_20141213_20201016_02_T2_MTL_clip,diffuse,0,1,80825.66657,1,1,59987.2873,0,1,1,0,0,,,,,,,
3034494.575,3259151.158,1,4,Multispectral_LC08_L2SR_062113_20141229_20201016_02_T2_MTL_clip,diffuse,0,0,0,1,1,50724.53816,1,1,1,0,0,,,,,,,
,,,,Multispectral_LC08_L2SR_062113_20150130_20201016_02_T2_MTL_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
250082.8718,271751.186,2,2,Multispectral_LC08_L2SR_062113_20151029_20201016_02_T2_MTL_clip,multicluster,0,0,0,0,1,63176.68072,0,1,0,0,0,,,,,,,
767013.3948,216076.3973,1,1,Multispectral_LC08_L2SR_062113_20151114_20201016_02_T2_MTL_clip,diffuse,1,0,0,1,1,86019.69153,0,1,0,0,0,,,,,,,
4400548.156,355342.6021,1,1,Multispectral_LC08_L2SR_062113_20151216_20201016_02_T2_MTL_clip,diffuse,0,1,76052.66538,1,1,57731.00356,1,0,1,0,0,,,,,,,
,,,,Multispectral_LC08_L2SR_062113_20160202_20201016_02_T2_MTL_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
490918.2252,506751.2699,1,1,Multispectral_LC08_L2SR_063113_20131030_20201016_02_T2_MTL_clip,single-cluster,0,1,58148.63806,1,1,100931.6593,1,0,1,0,0,,,,,,,
1141759.215,1049908.689,1,1,Multispectral_LC08_L2SR_063113_20131115_20201016_02_T2_MTL_clip,diffuse,0,1,80384.11016,1,1,100312.4739,1,1,1,0,0,,,,,,,
1369506.844,,1,,Multispectral_LC08_L2SR_063113_20131201_20201016_02_T2_MTL_clip,diffuse,1,1,87837.96445,1,0,0,0,1,0,0,0,,,,,,,
681949.6957,2846738.64,1,2,Multispectral_LC08_L2SR_063113_20140102_20201016_02_T2_MTL_clip,diffuse,0,0,0,1,0,0,0,0,1,0,0,,,,,,,
198138.4792,144901.5061,1,2,Multispectral_LC08_L2SR_063113_20141017_20201016_02_T2_MTL_clip,multicluster,0,1,19891.01252,0,1,193262.1977,1,0,1,0,0,,,,,,,
1072244.503,1242423.18,1,1,Multispectral_LC08_L2SR_063113_20141118_20201016_02_T2_MTL_clip,diffuse,0,1,137838.8981,1,1,77011.40688,1,0,1,0,0,,,,,,,
1184945.566,,1,,Multispectral_LC08_L2SR_063113_20141204_20201016_02_T2_MTL_clip,diffuse,0,1,103702.4343,1,1,61056.05806,1,0,0,0,0,,,,,,,
916342.1389,,1,,Multispectral_LC08_L2SR_063113_20141220_20201016_02_T2_MTL_clip,diffuse,1,1,21741.35208,0,0,0,0,1,0,0,0,,,,,,,
402828.2509,,1,,Multispectral_LC08_L2SR_063113_20150121_20201016_02_T2_MTL_clip,diffuse,0,1,63962.44894,0,1,75891.72734,1,0,0,0,0,,,,,,,
395635.6948,290696.1715,1,1,Multispectral_LC08_L2SR_063113_20151105_20201016_02_T2_MTL_clip,multicluster,1,0,0,0,1,90439.01227,1,1,0,0,0,,,,,,,
1282524.495,1149132.486,1,1,Multispectral_LC08_L2SR_063113_20151121_20201016_02_T2_MTL_clip,diffuse,0,1,49548.80236,1,1,64118.19708,0,0,1,0,0,,,,,,,
,,,,Multispectral_LE07_L2SR_060113_20050213_20200914_02_T2_MTL_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
974479.6332,,1,,Multispectral_LE07_L2SR_060113_20030107_20200916_02_T2_MTL_clip,diffuse,1,1,99097.64795,0,1,45957.46518,0,1,0,0,0,,,,,,,
,,,,Multispectral_LE07_L2SR_060113_20020104_20200917_02_T2_MTL_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,,,Multispectral_LE07_L2SR_060113_20011219_20200917_02_T2_MTL_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
433828.5402,280113.0155,1,1,Multispectral_LE07_L2SR_060113_19991230_20200918_02_T2_MTL_clip,diffuse,0,1,58621.73622,1,1,64160.6129,0,0,0,0,0,,,,,,,
816212.8654,,4,,Multispectral_LE07_L2SR_060113_19991214_20200918_02_T2_MTL_clip,diffuse,0,1,60009.49408,1,1,53676.42557,0,0,0,0,0,,,,,,,
,,,,Multispectral_LE07_L2SR_059113_20000124_20200918_02_T2_MTL_clip,no guano,1,0,0,0,0,0,0,1,0,0,0,,,,,,,
313941.2579,197792.4234,1,1,Multispectral_LE07_L2SR_060113_20071102_20200913_02_T2_MTL_clip,multicluster,1,1,76557.27579,0,0,0,0,1,0,141731.7345,1,,,,,,,
,,,,Multispectral_LE07_L2SR_060113_20090123_20200912_02_T2_MTL_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
622797.4775,572035.649,3,3,Multispectral_LE07_L2SR_060113_20111113_20200909_02_T2_MTL_clip,diffuse,0,1,91465.03116,1,1,98573.58147,1,0,1,119034.7603,1,,,,,,,
1828864.413,704964.8658,4,5,Multispectral_LE07_L2SR_060113_20111129_20200909_02_T2_MTL_clip,diffuse,0,1,75022.35424,1,1,76002.00215,1,0,1,603768.0701,1,,,,,,,
798702.3668,,3,,Multispectral_LE07_L2SR_060113_20111215_20200909_02_T2_MTL_clip,diffuse,1,1,67894.39915,1,1,79513.69297,0,1,0,264142.1046,1,,,,,,,
4153074.907,3704633.394,6,6,Multispectral_LE07_L2SR_060113_20111231_20200909_02_T2_MTL_clip,diffuse,0,1,79627.14953,1,1,57035.4282,1,0,1,1355894.706,1,,,,,,,
,,,,Multispectral_LE07_L2SR_060113_20120201_20200909_02_T2_MTL_clip,no guano,0,0,0,0,0,0,0,0,0,248755.3149,1,,,,,,,
6926697.712,68261.49115,4,2,Multispectral_LE07_L2SR_060113_20130102_20200908_02_T2_MTL_clip,diffuse,0,1,73329.74682,1,1,66781.6836,1,0,0,1508767.893,1,,,,,,,
,,,,Multispectral_LE07_L2SR_061113_20010124_20200917_02_T2_MTL_clip,no guano,1,1,50253.22616,0,1,302286.0747,1,0,0,0,0,,,,,,,
544739.1702,,1,,Multispectral_LE07_L2SR_061113_20011210_20200917_02_T2_MTL_clip,diffuse,1,0,0,0,0,0,0,1,0,0,0,,,,,,,
764540.3207,,1,,Multispectral_LE07_L2SR_061113_20011226_20200917_02_T2_MTL_clip,diffuse,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
4010386.711,106602.7733,1,1,Multispectral_LE07_L2SR_061113_20021213_20200916_02_T2_MTL_clip,diffuse,0,1,78165.81051,0,1,63422.64829,1,0,0,0,0,,,,,,,
924029.5908,,1,,Multispectral_LE07_L2SR_061113_20021229_20200916_02_T2_MTL_clip,diffuse,1,1,62080.59294,0,1,66298.15608,0,1,0,0,0,,,,,,,
1589137.384,989472.8557,1,10,Multispectral_LE07_L2SR_061113_20030114_20200916_02_T2_MTL_clip,diffuse,0,1,67200.52174,1,1,68664.75748,1,1,1,0,0,,,,,,,
2128780.615,3442506.279,1,1,Multispectral_LE07_L2SR_061113_20070109_20200913_02_T2_MTL_clip,diffuse,0,1,56981.67288,1,1,77053.81765,0,0,1,207275.1355,1,,,,,,,
2390387.945,1920125.932,1,3,Multispectral_LE07_L2SR_061113_20071211_20200913_02_T2_MTL_clip,diffuse,0,1,54668.76606,1,1,50512.49515,1,0,1,0,0,,,,,,,
